(swalp) qian@salad:~/mi2019/SWALP$ ./exp/block_vgg_swa.sh CIFAR10 100
Checkpoint directory ./checkpoint/block-CIFAR10-VGG16LP/seed100
Tensorboard loggint at runs/block-CIFAR10-VGG16LP/seed100_10_24_00_36
Prepare data loaders:
Loading dataset CIFAR10 from .
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Prepare quantizers:
Block rounding, W:8, A:8, G:8, E:8, Acc:8
lr init: 0.05
swa start: 200.0 swa lr: 0.01
Model: VGG16LP
Prepare SWA training
----  --------  ---------  --------  ---------  --------  ------------  --------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc  swa_te_acc        time
----  --------  ---------  --------  ---------  --------  ------------  --------
 170    0.0073     0.0535   98.2120     0.3495   91.7200                 53.4359
 171    0.0067     0.0477   98.4300     0.3270   91.8300                 53.5049
 172    0.0061     0.0428   98.6640     0.3378   91.5800                 53.6826
 173    0.0055     0.0366   98.8720     0.3325   91.8100                 53.5841
 174    0.0048     0.0311   98.9860     0.3662   91.3700                 53.5478
 175    0.0042     0.0260   99.1440     0.3629   91.9100                 53.5649
 176    0.0036     0.0223   99.3160     0.3468   92.3100                 53.6006
 177    0.0030     0.0218   99.3400     0.3441   92.0400                 53.6493
 178    0.0024     0.0162   99.5060     0.3468   92.2400                 53.5899
 179    0.0017     0.0153   99.5400     0.3447   92.3000                 53.6709
 180    0.0011     0.0118   99.6300     0.3511   92.5500                 53.6594
 181    0.0005     0.0092   99.7520     0.3511   92.5700                 53.5194
 182    0.0005     0.0099   99.7100     0.3575   92.5200                 53.5372
 183    0.0005     0.0092   99.7340     0.3486   92.7200                 53.6726
 184    0.0005     0.0082   99.7660     0.3513   92.6300                 53.6728
 185    0.0005     0.0094   99.7220     0.3514   92.7000                 53.6511
 186    0.0005     0.0085   99.7260     0.3571   92.6700                 53.6078
 187    0.0005     0.0075   99.7760     0.3587   92.7600                 53.6686
 188    0.0005     0.0087   99.7440     0.3543   92.6900                 53.5932
 189    0.0005     0.0076   99.7840     0.3539   92.7500                 53.6412
 190    0.0005     0.0084   99.7660     0.3526   92.7200                 53.5931
 191    0.0005     0.0078   99.7740     0.3576   92.6800                 53.5978
 192    0.0005     0.0069   99.7980     0.3592   92.6400                 53.5534
 193    0.0005     0.0071   99.8040     0.3646   92.6900                 53.5697
 194    0.0005     0.0071   99.7800     0.3688   92.6200                 53.6319
 195    0.0005     0.0060   99.8360     0.3678   92.5500                 53.5066
 196    0.0005     0.0066   99.7880     0.3628   92.8100                 53.6614
 197    0.0005     0.0077   99.7700     0.3678   92.7100                 53.4954
 198    0.0005     0.0067   99.8100     0.3671   92.6900                 53.6342
 199    0.0005     0.0069   99.8060     0.3680   92.6700                 53.6049
 200    0.0005     0.0068   99.8020     0.3701   92.6600       92.6400   54.8564
----  --------  ---------  --------  ---------  --------  ------------  --------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc    swa_te_acc      time
----  --------  ---------  --------  ---------  --------  ------------  --------
